Species,Habitat
Kronborgia_isopodicola,Marine
Urastoma_cyprinae,Marine
Phagocata_vitta,Freshwater
Crenobia_alpina,Freshwater
Cephaloflexa_bergi,Freshwater
Geoplana_quagga,Freshwater
Girardia_sp.,Freshwater
Dugesia_gonocephala,Freshwater
Schmidtea_polycroa,Freshwater
Rhodax_sp.2,Freshwater
Opisthobursa_mexicana,Freshwater
Novomitchellia_bursaelongata,Freshwater
Hausera_hauseri,Freshwater
Kawakatsua_plumila,Freshwater
Obrimoposthia_wandeli,Freshwater+Marine
Miroplana_shenzhensis,Freshwater
Procerodes_littoralis,Freshwater+Marine
Uteriporus_sp.,Marine
Bdelloura_candida,Marine
Paucumara_falcata,Freshwater
Ectoplana_limuli,Marine
Sluysia_triapertura,Freshwater+Marine
Nerpa_fistulata,Marine
Oregoniplana_geniculata,Marine
Palombiella_stephensoni,Marine
Pentacoelum_kazukolinda,Freshwater
Sabussowia_dioica,Marine
Cercyra_hastata,Marine
